['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
785,KRT->UST,0.004582682837203406,0.12302925362254045,363501,302.5494111188972,10000363501,19999697.450588882,0,0.004582682837203406
1032,KRT->UST,1.3855221911670588,0.17267233153088482,6322301,5260.8743322274395,10006322301,19994739.125667773,0,1.390104874004262
1099,KRT->UST,0.7516217600658964,0.1587949730048546,4656301,3874.8418610345257,10004656301,19996125.158138964,0,2.1417266340701584
1473,KRT->UST,0.003022382959629492,0.12246008708272033,295201,245.70260655005058,10000295201,19999754.29739345,0,2.144749017029788
1804,KRT->UST,0.47211807530287747,0.1507468822803975,3690201,3071.0045389331667,10003690201,19996928.995461065,0,2.616867092332665
1805,KRT->UST,0.6242711287765272,0.15535755083390865,4243301,3531.2157247133046,10007308502,19994647.77973635,0,3.2411382211091926
2113,KRT->UST,0.9692107914201976,0.1640539555231457,5287601,4400.075990461184,10005287601,19995599.92400954,0,4.21034901252939
2114,UST->KRT,698.2618123354184,-0.17286871076333943,2204.500000000002,2641526.216934752,10002021074.783066,19999054.42400954,698.2618123354184,4.21034901252939
2691,UST->KRT,32.92810979215802,-0.13148349655422972,478.5000000000004,573477.9913290616,9999426522.00867,20000478.5,731.1899221275764,4.21034901252939
2815,KRT->UST,3.9033700813720973,0.2084088437839962,10613701,8830.227380507182,10010613701,19991169.772619493,731.1899221275764,8.113719093901487
2816,KRT->UST,2.8022914444155607,0.1949229374433446,8990701,7480.453428859651,10018979402,19984939.319190633,731.1899221275764,10.916010538317048
2821,KRT->UST,0.003048398634152325,0.12247119658896277,296401,246.70138055602777,10016150803,19990942.617810078,731.1899221275764,10.9190589369512
2884,UST->KRT,393.85199660694724,-0.15971525052477867,1655.1000000000015,1983342.2670649372,9998016657.732935,20001655.1,1125.0419187345237,10.9190589369512
2894,KRT->UST,0.3498173588117258,0.14646649578907991,3176401,2643.4741480228927,10003176401,19997356.525851976,1125.0419187345237,11.268876295762926
2906,KRT->UST,0.6311235028267036,0.15554945557688882,4266701,3550.685469084206,10004266701,19996449.314530917,1125.0419187345237,11.89999979858963
2928,KRT->UST,0.8205866431881244,0.1605357306669113,4865301,4048.730450522355,10004865301,19995951.269549478,1125.0419187345237,12.720586441777753
